category,question,answer,on_point_date
SOLID,"What is SOLID?","It is a set of five design principles that help us create more maintainable and scalable software.",2026-08-10
SOLID,"Why does SOLID matter?","Because most of the cost of software is in maintenance: code that follows SOLID tends to have fewer cascading effects when requirements change.",2026-08-09
SOLID,"Single Responsibility","A class should have one and only one reason to change, and a reason to change means an actor.",2026-08-10
SOLID,"Open/Closed","Classes should be open for extension but closed for modification — we should be able to add new behavior by adding new code, not by modifying existing code.",2026-08-10
SOLID,"Liskov Substitution","Different implementations of the same protocol should be replaceable without breaking the app. It is not just about matching the signature — it is about the commitment each implementation makes about how it behaves.",2026-08-12
SOLID,"Interface Segregation","Clients should not be forced to rely on functions they don't need.",2026-08-10
SOLID,"Dependency Inversion","High-level modules should always rely on abstractions, never on concrete implementations.",2026-08-09
SOLID,"How do you detect an SRP violation in a real view model?","I look at its reasons to change. A practical signal is the test setup: if I have to mock unrelated services just to test one behavior, the class is doing too much.",2026-08-24
Memory & ARC,"ARC (Automatic Reference Counting)","It is the Swift way of managing memory for reference types: when the reference count reaches zero, the memory is released.",2026-08-09
Memory & ARC,"deinit","It is a function that runs automatically just before a class instance is deallocated, when its reference count reaches zero. It is the place to clean up — invalidate timers, remove observers, close resources.",2026-08-12
Memory & ARC,"Retain cycle","A retain cycle is when two objects hold strong references to each other, so their reference counts never reach zero and the memory is never released.",2026-08-09
Memory & ARC,"[weak self]","It prevents a retain cycle when a closure captures self. The closure keeps a weak reference, so the retain count doesn't increase — and self becomes an optional that turns nil once the object is deallocated.",2026-08-14
Memory & ARC,"Weak vs unowned","Both are non-owning references used to break retain cycles. The difference is that weak is an optional and becomes nil when the object is deallocated, while unowned assumes the object is still alive and crashes if it is not.",2026-09-01
Memory & ARC,"Stack vs heap","The stack holds values whose size and lifetime are known by the compiler. The heap, on the other hand, is for reference types, whose allocation occurs at runtime.",2026-08-09
Swift Language,"Copy-on-write","Copy-on-write is the optimization for value-type collections. In theory a value type is copied each time it is passed; to improve that, standard collections like Array don't copy the value unless one function modifies its own copy.",2026-08-17
Swift Language,"Value vs reference type","A value type is copied when it is assigned or passed, so each variable has its own data. A reference type is a pointer to its value: when it is assigned, both variables point to the same instance.",2026-08-12
Swift Language,"Class vs struct","Structs are value types, so each copy is independent. Classes are reference types, so copies point to the same instance.",2026-08-14
Swift Language,"When to use classes","I use classes when I need to share mutable state, when identity matters, or when a framework requires it.",2026-08-12
Swift Language,"When to use structs","I use structs by default, and when I want thread safety — copies don't share state, so there is nothing to race on.",2026-08-12
Swift Language,"final class vs non-final","A final class does not allow inheritance. It also lets the compiler use static dispatch instead of dynamic dispatch.",2026-08-30
Swift Language,"Type alias","typealias gives another name to an existing type — usually a shorter or more readable one. It doesn't create a new type.",2026-09-03
Swift Language,"Codable","Codable is a type alias for Encodable and Decodable: it lets a type be converted to and from formats like JSON.",2026-08-12
Swift Language,"var vs let","var declares a mutable variable and let declares a constant.",2026-08-12
Swift Language,"What happens with let in a class instance?","If I declare a class instance as let, that just freezes the reference, not the object. I cannot point it to a different object, but I can still mutate its properties.",2026-09-13
Swift Language,"What happens with let in a struct?","With a struct, let makes the whole value immutable: I cannot reassign it, and I cannot change any of its properties.",2026-08-09
Swift Language,"What is the difference between var and let inside a struct?","Properties marked let can never change after init. Properties marked var can change — but only if the instance itself is declared with var. If the instance is a let, the whole value is frozen: even its var properties cannot be modified.",2026-09-01
Swift Language,"What is type inference?","It means the compiler figures out the type from the assigned value, so I don't have to write it explicitly.",2026-09-11
Swift Language,"What is a tuple?","It is a value type that groups multiple values into a single compound value — commonly used to return more than one value from a function.",2026-09-03
Swift Language,"What are generics and why use them?",,
Swift Language,"What is an associated type?",,
Swift Language,"What is a primary associated type (PAT)?",,
Swift Language,"some","some is an opaque type: one concrete type that the compiler knows, just hidden from the caller, so everything is resolved at compile time.",2026-08-09
Swift Language,"any","any is an existential: a box that can hold any conforming type at runtime.",2026-08-13
Swift Concurrency,"When to use actors","I use an actor when I need to share mutable state across concurrency contexts. It protects that state by serializing access — only one task can touch it at a time.",2026-08-12
Swift Concurrency,"Task vs Task.detached","Task runs in the same context as the code that creates it: if you create it on the main actor, it stays on the main actor, and it keeps the same priority. Task.detached ignores all of that and starts clean, outside any actor.",2026-08-13
Swift Concurrency,"What is @MainActor?","@MainActor is an attribute that indicates that this part of the code runs on the main thread.",2026-08-10
Swift Concurrency,"Sendable","It is a protocol that marks a type as safe to pass across concurrency contexts. The compiler checks it, so a potential data race becomes a compile-time error instead of a runtime bug. Structs get it for free when all their properties are Sendable.",2026-08-12
Swift Concurrency,"GCD (Grand Central Dispatch)","GCD is Apple's low-level framework for running work on queues that the system creates and manages.",2026-09-07
Swift Concurrency,"async let","It starts a child task that runs concurrently while the rest of the function keeps going, and I await the value later, when I actually need it. It's the right tool when I have a fixed number of concurrent tasks known up front.",2026-08-16
Swift Concurrency,"TaskGroup","It runs a dynamic number of child tasks concurrently — one per element of my data, for example — and collects their results as they finish. It's the right tool when I don't know the number of tasks up front.",2026-08-14
Swift Concurrency,"What is a continuation (withCheckedContinuation) used for?","It is a function that lets us bridge callback-based APIs into async/await: it suspends the async function, gives us a continuation, and we resume it exactly once when the callback fires.",2026-08-21
Swift Concurrency,"withCheckedThrowingContinuation",,
Theory,"Mention creational patterns","Factory Method, Abstract Factory, Builder, and Singleton.",2026-08-14
Theory,"Mention behavioral patterns","Observer, Strategy, Iterator, and Delegate — the iOS flavor of behavioral communication.",2026-09-07
Theory,"When would you use the Strategy pattern?","I use Strategy when I need to change behavior at runtime — like swapping a cache policy or a retry strategy. I define a protocol and inject different implementations, and a side benefit is that tests can inject their own.",2026-09-07
Theory,"What is the Observer pattern?","The Observer pattern is a one-to-many relation: an object announces changes and any number of listeners react, without the sender knowing who they are. In iOS you see it in NotificationCenter, KVO, Combine, and now the Observation framework.",2026-09-13
Theory,"What is the Iterator pattern?","The Iterator pattern lets you walk a collection element by element, without knowing its internal structure. In Swift it's built into the language: Sequence and IteratorProtocol are what make a for-in loop work.",
Theory,"Observer vs Delegate — when each?","Delegate is one-to-one and can return data. Observer is one-to-many. That's why UIKit uses delegates everywhere: a component asks its one delegate how to behave and can get an answer back. For state changes that several parts of the app care about, I use observation.",
Theory,"What is the Delegate pattern?","It's a pattern where one object hands off a specific responsibility to another object — the delegate — which decides how to respond. It's a one-to-one relationship, and it's the backbone of a lot of UIKit APIs, like CLLocationManagerDelegate or URLSessionDelegate.",2026-08-14
Theory,"Mention structural patterns","Adapter, Decorator, Facade, Composite, and Proxy.",2026-09-09
Theory,"What is the Decorator pattern?","Decorator wraps an object to add behavior or appearance without changing the original, keeping the same interface so wrappers can chain.",2026-09-09
Theory,"What is the Composite pattern?","Composite arranges objects into a tree and lets you treat the whole tree as a single object. In SwiftUI everything is a View, whether it's a single Text or an entire screen.",2026-09-09
Theory,"Cyclomatic complexity","It is a metric that measures how complex a piece of code is by counting its independent paths — every branch, loop, or condition adds one. Higher means more complex: harder to understand, and harder to test. Up to 5 is healthy and 10 is the classic refactor threshold — it's where SwiftLint starts warning.",2026-08-21
Architecture,"MVVM","It is an architectural pattern whose main goal is to split responsibilities: the View just renders the screen, the ViewModel handles the presentation logic, and the Model holds the data.",2026-08-12
Security,"Keychain","Keychain is the iOS encrypted storage for small sensitive data such as tokens, passwords, and keys.",2026-08-12
Testing,"Mock vs stub","A stub returns canned data so the test can run. A mock also records the calls it receives, so I can verify the interaction happened — a stub feeds the test, a mock asserts on it.",2026-08-12
Testing,"Name something you would not write a unit test for — and why",,
Security,"Access token vs refresh token","The access token is sent with every request to prove the user is authenticated, and it's short-lived. When it expires, the app uses the refresh token to get a new access token — without forcing the user to log in again.",2026-08-13
Frameworks,"@State vs @Binding","@State is used when the view itself owns and manages value-type data. @Binding is used when a child view needs to read and write a value that's owned by its parent.",2026-08-13
Frameworks,"What does the $ prefix mean in SwiftUI?","The $ prefix gives you the projected value of a property wrapper. With @State, $myValue produces a Binding to that state, so I can pass it to a child view that needs to read and write it. Without the $, I'm just passing the current value.",2026-09-01
Frameworks,"@State vs @StateObject","@State is for value types that the view owns. @StateObject is for reference types — an ObservableObject that the view creates and owns — and SwiftUI guarantees it's created only once, even though the view struct is recreated on every render.",2026-08-14
Frameworks,"How does a child view send information back to its parent?","Two main ways: with a @Binding, the child directly mutates state that the parent owns; with a closure, the parent passes a callback and the child calls it when something happens.",2026-08-12
Networking,"What does a 401 mean?","401 Unauthorized means the request's credentials are not valid anymore — typically an expired access token. It is the signal to run the token refresh flow and retry the request.",2026-08-16
Persistence,"UserDefaults","UserDefaults is a simple key-value store for small, non-sensitive data such as user preferences and flags. It is not encrypted.",2026-08-24
Frameworks,"Why does ForEach need a stable id?","ForEach needs a stable id so SwiftUI can track each item's identity when the data changes: it compares the old and new items by id to know which rows were inserted, removed, or moved, and keeps each row's state and animations on the right item.",2026-09-02
Frameworks,"What happens if you use the array index as the id in ForEach?","The index isn't stable: when items are inserted, removed, or reordered, each index points to a different item than before, so SwiftUI attaches row state and animations to the wrong rows. It's only safe for a list that never changes.",
