category,subtopic,flag
Theory,TDD Fundamentals,active
Theory,Code Smells and Refactoring,active
Theory,Concurrency vs Parallelism,active
Frameworks,SwiftUI Performance and Diffing,active
Frameworks,ViewBuilder and Result Builders,active
Frameworks,UIViewRepresentable Bridging,active
Architecture,MVI Pattern,active
Architecture,Clean Architecture,active
Architecture,Coordinator and Router Pattern,active
Architecture,Service Pattern,active
Testing,Snapshot Testing,active
DevOps,fastlane Automation,active
DevOps,Code Signing and Provisioning,active
DevOps,TestFlight Distribution,active
DevOps,Build Configurations (xcconfig),active
Security,OAuth2 and PKCE,active
Security,JWT Validation,active
Security,Biometric Authentication,active
System Design,Paginated Feed,active
System Design,Offline-First Architecture,active
System Design,Push Notifications and Deep Linking,active
System Design,Real-time Sync,active
Soft Skills,Code Review Process,active
Soft Skills,Mentoring Juniors,active
Soft Skills,Tech Debt Prioritization,active
Soft Skills,Estimation and Planning,active
Trade-offs,UIKit vs SwiftUI,active
Anti-patterns,Singleton Abuse,active
Real Experience,Most Complex Feature,active
Real Experience,Architecture Decisions and Trade-offs,active
Real Experience,Debugging Production Bug,active
What If,Production Crash Diagnosis,active
What If,Slow Endpoint Diagnosis,active
What If,Memory Leak Detection,active
Autonomy,Ambiguous Start,active
Autonomy,Edge Cases Definition,active
Environments,Environment Separation (dev/staging/prod),active
Environments,xcconfig per Environment,active
