category,subtopic,priority,notes
Theory,SOLID principles,P3,5 principles with iOS examples
Theory,Design patterns,P3,GoF + when each applies
Theory,TDD red-green-refactor,P3,
Theory,Code smells,P3,
Theory,Clean Code,P3,
Theory,Big O notation,P3,
Theory,DRY / KISS / YAGNI,P3,
Theory,Concurrency vs parallelism,P3,
Theory,Idempotency,P3,
Theory,ACID vs BASE,P3,
Swift Language,Value vs reference types,P3,
Swift Language,Generics,P3,
Swift Language,Protocols and associated types,P3,
Swift Language,some vs any,P3,opaque vs existential
Swift Language,Result type,P3,
Swift Language,Error handling,P3,throws / Result / Optional decision
Swift Language,Property wrappers,P3,wrappedValue / projectedValue mechanism
Swift Language,Closures and escaping,P3,
Swift Language,Key paths,P3,
Memory & ARC,weak vs unowned,P3,
Memory & ARC,Retain cycles,P3,closures / delegates / parent-child
Memory & ARC,Capture lists,P3,
Swift Concurrency,async/await,P3,
Swift Concurrency,Task and Task.detached,P3,
Swift Concurrency,Task cancellation,P3,cooperative cancellation
Swift Concurrency,async let,P3,
Swift Concurrency,TaskGroup,P3,
Swift Concurrency,Continuations,P3,withCheckedContinuation
Swift Concurrency,Actors and @MainActor,P3,
Swift Concurrency,Sendable,P3,
Frameworks,SwiftUI state,P3,@State / @Binding / @StateObject / @ObservedObject / @EnvironmentObject
Frameworks,SwiftUI view identity,P3,
Frameworks,SwiftUI performance,P3,"List, LazyVStack, .equatable"
Frameworks,NavigationStack,P3,
Frameworks,UIKit lifecycle,P3,
Frameworks,Combine basics,P3,
Frameworks,Combine vs async/await,P3,
Architecture,MVVM,P3,
Architecture,MVI vs MVVM,P3,
Architecture,Clean Architecture,P3,
Architecture,Coordinator pattern,P3,
Architecture,Dependency Injection,P3,
Architecture,Repository vs Service vs UseCase,P3,
Architecture,SwiftUI navigation patterns,P3,
Testing,XCTest basics,P3,
Testing,Swift Testing syntax,P3,@Test / #expect / async throws
Testing,Async tests,P3,
Testing,Mocks / Stubs / Spies / Fakes,P3,
Testing,Snapshot testing,P3,
Testing,TDD what to test,P3,
Testing,Test coverage,P3,
DevOps / CI-CD,Bitbucket Pipelines,P3,
DevOps / CI-CD,Fastlane,P3,
DevOps / CI-CD,Code signing,P3,
DevOps / CI-CD,TestFlight,P3,"internal vs external, build expiration"
DevOps / CI-CD,SwiftLint,P3,
Security,Keychain accessibility,P1,kSecAttrAccessible values
Security,Keychain + Secure Enclave,P1,
Security,Biometric authentication,P1,LocalAuthentication / Face ID / Touch ID
Security,OAuth2 + PKCE,P1,authorization code flow for mobile
Security,JWT,P1,"HS256 vs RS256, alg none, refresh rotation"
Security,Token storage,P1,access vs refresh distinction
Security,OWASP MASVS,P1,
Security,Certificate pinning,P1,
Security,Deep link validation,P1,
Security,Screenshot prevention,P3,
Persistence,Core Data contexts,P3,"merge policies, background work"
Persistence,SwiftData basics,P3,
Persistence,UserDefaults pitfalls,P3,when NOT to use
Persistence,SQLite basics,P3,
Persistence,Database indexing,P3,
Networking,URLSession,P3,
Networking,Codable,P3,
Networking,Network error handling,P3,
Networking,Retries with backoff,P3,
Networking,Caching strategies,P3,
Networking,Token refresh,P3,
System Design,Paginated feed,P3,
System Design,Offline-first + sync,P3,
System Design,Push notifications,P3,
System Design,Deep linking,P3,
System Design,Real-time chat,P3,
Soft Skills,Code reviews,P3,what to look for / how to give feedback
Soft Skills,Mentoring juniors,P3,
Soft Skills,Documentation,P3,
Soft Skills,Tech debt prioritization,P3,
Soft Skills,Estimation,P3,story points / Fibonacci / spikes
Trade-offs,UIKit vs SwiftUI,P3,
Trade-offs,Core Data vs SwiftData,P3,
Trade-offs,MVVM vs MVI,P3,
Anti-patterns,SwiftUI anti-patterns,P3,
Anti-patterns,Architecture anti-patterns,P3,
Anti-patterns,Concurrency anti-patterns,P3,
Real Experience,Most complex feature,P3,
Real Experience,Production incident,P3,
Real Experience,Mentoring story,P3,
What If,Endpoint is slow diagnosis,P3,
What If,Suspect memory leak,P3,
What If,Race condition in prod,P3,
What If,Critical bug Friday 6pm,P1,autonomy signal
Autonomy,Ambiguous feature start,P1,decides without lead
Autonomy,PO unavailable edge case,P1,defines behavior independently
Autonomy,Critical decision under pressure,P1,
Environments,Dev / staging / prod separation,P1,
Environments,Schemes and xcconfig,P1,
Environments,Risk of mixing environments,P1,
